Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
K-Nearest Neighbors,0.688,0.279317697228145,0.12584053794428435,0.17350993377483442,0.508218142341751
XGBoost,0.71675,0.25,0.04418828049951969,0.07510204081632653,0.5205246599459341
Decision Tree,0.72525,0.2661290322580645,0.03170028818443804,0.05665236051502146,0.511284545529213
Gradient Boosting,0.73825,0.25,0.002881844380403458,0.005698005698005698,0.5118792891255743
Random Forest,0.74,0.6666666666666666,0.0019212295869356388,0.0038314176245210726,0.5099124473796381
Logistic Regression,0.73975,0.0,0.0,0.0,0.49494484175177955
Naive Bayes,0.73975,0.0,0.0,0.0,0.49651318580965154
SVM,0.73975,0.0,0.0,0.0,0.5013415818296741
